degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS Data Science,1,1.9,3.9,2.93,3.18,7.0,93.2,4.2,Sometimes,Morning,Mixed,Sometimes,2–3 days before,5,1,Sometimes
BS AI,3,2.0,2.6,0.0,3.04,14.0,79.1,1.2,Rarely,Late night,Reading notes,Never,1 week before,0,3,Yes
Docter of optometry,5,1.5,2.8,3.68,3.74,7.0,81.3,4.3,Always,Late night,Reading notes,Sometimes,Last day,5,2,Sometimes
BS Data Science,5,1.7,3.4,1.67,3.13,8.2,81.4,3.4,Sometimes,Late night,Mixed,Never,Last day,5,1,Yes
BS Data Science,4,1.8,1.9,3.29,3.35,6.8,79.2,4.2,Sometimes,Morning,Mixed,Rarely,2–3 days before,4,2,Yes
Docter of optometry,5,4.1,2.9,2.86,3.24,6.6,91.9,2.9,Sometimes,Late night,Video lectures,Never,1 week before,5,1,Yes
Radiology,5,1.5,2.4,0.0,2.65,14.3,84.5,1.5,Rarely,Afternoon,Mixed,Often,Throughout the semester,0,3,Sometimes
BS Computer Science,7,1.8,4.5,3.14,3.75,6.0,91.6,1.9,Sometimes,Morning,Mixed,Sometimes,1 week before,5,2,Sometimes
BBA,5,1.9,3.4,3.66,3.63,5.8,89.0,1.7,Sometimes,Morning,Practice questions,Often,1 week before,2,1,Sometimes
BS Data Science,5,1.6,4.5,1.88,2.43,6.3,86.7,2.1,Sometimes,Late night,Mixed,Sometimes,1 week before,4,3,Sometimes
BBA,5,1.6,1.5,3.01,3.11,12.9,97.3,3.9,Often,Late night,Reading notes,Sometimes,1 week before,2,3,Sometimes
BS AI,2,1.8,2.1,2.54,3.55,6.1,88.4,2.8,Often,Evening,Reading notes,Sometimes,1 week before,2,3,Sometimes
BSCS,5,1.8,3.4,1.96,3.34,6.2,80.8,3.0,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,No
BS Software Engineering,3,4.3,3.5,2.43,3.71,6.4,76.5,3.9,Sometimes,Late night,Mixed,Rarely,1 week before,5,1,No
BS Data Science,3,4.2,2.0,1.77,3.54,5.5,90.4,2.9,Rarely,Late night,Mixed,Sometimes,Throughout the semester,4,5,Sometimes
BS AI,5,1.5,3.5,0.0,3.2,12.5,88.4,4.3,Sometimes,Late night,Mixed,Never,Last day,5,1,Yes
BS AI,2,1.7,3.3,1.7,3.3,8.9,90.8,3.3,Often,Late night,Video lectures,Rarely,1 week before,5,3,Yes
BS Data Science,5,4.1,2.8,1.82,3.38,13.3,76.1,2.7,Rarely,Late night,Group study,Never,2–3 days before,4,1,Yes
BS Computer Science,4,1.7,4.4,3.82,3.37,6.6,94.0,2.4,Sometimes,Morning,Mixed,Sometimes,1 week before,2,4,Sometimes
BS English,3,5.2,3.7,2.13,3.26,13.9,79.8,2.6,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,1,Sometimes
DPT,7,1.5,3.4,2.29,3.71,5.6,75.2,3.2,Sometimes,Evening,Mixed,Rarely,2–3 days before,5,1,Yes
BS Data Science,7,1.5,3.4,2.16,3.58,6.6,94.0,4.5,Often,Late night,Video lectures,Never,Last day,5,3,No
BS Software Engineering,2,1.7,1.5,3.04,3.32,6.9,89.4,2.6,Rarely,Late night,Mixed,Sometimes,Throughout the semester,1,4,Sometimes
BS Software Engineering,4,2.0,3.3,2.45,3.26,5.7,97.5,1.4,Sometimes,Morning,Reading notes,Sometimes,Last day,4,2,Yes
BS Accounting & finance,1,2.0,3.6,0.0,3.31,5.9,84.5,3.7,Sometimes,Late night,Mixed,Never,Last day,5,3,No
BS Software Engineering,1,4.2,2.4,3.36,3.72,12.5,96.5,4.0,Always,Late night,Mixed,Often,1 week before,4,5,Sometimes
DPT,6,1.5,3.5,2.98,3.26,6.2,95.0,0.5,Sometimes,Morning,Mixed,Always,Last day,4,1,Yes
BS Accounting & finance,6,1.9,1.5,2.85,3.15,6.5,96.7,4.5,Always,Afternoon,Mixed,Rarely,1 week before,5,1,Sometimes
BBA,6,3.9,4.1,4.0,3.45,6.4,94.6,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,4,3,Sometimes
BS Data Science,2,2.1,4.5,3.3,3.24,6.2,75.0,4.5,Sometimes,Late night,Video lectures,Rarely,1 week before,5,4,Yes
BS Software Engineering,4,1.8,3.4,4.0,3.02,6.3,97.5,4.3,Sometimes,Morning,Video lectures,Sometimes,1 week before,2,3,No
Docter of optometry,5,4.8,3.6,2.12,3.25,7.0,94.6,1.9,Rarely,Morning,Mixed,Sometimes,Throughout the semester,5,4,Yes
BS Data Science,1,1.9,3.3,2.9,3.05,6.7,60.0,2.3,Sometimes,Evening,Mixed,Never,1 week before,1,4,Sometimes
BS Data Science,4,1.5,3.8,2.94,3.36,5.6,68.4,2.4,Often,Evening,Mixed,Never,Last day,5,1,Yes
BS Data Science,5,1.9,2.3,0.0,3.54,3.4,95.4,0.6,Sometimes,Late night,Mixed,Rarely,Throughout the semester,2,1,Sometimes
Radiology,1,1.5,1.9,3.35,3.21,5.8,95.3,2.3,Often,Late night,Group study,Sometimes,2–3 days before,0,3,Yes
BS Data Science,4,4.3,3.6,2.5,3.41,12.5,94.9,2.3,Rarely,Afternoon,Mixed,Often,Throughout the semester,4,5,No
BBA,2,1.5,3.2,2.16,3.23,6.9,76.6,3.9,Always,Evening,Video lectures,Rarely,2–3 days before,3,1,Sometimes
Docter of optometry,1,4.2,1.5,2.37,3.75,7.1,72.6,1.4,Sometimes,Afternoon,Mixed,Sometimes,1 week before,4,3,Sometimes
Radiology,5,1.6,3.1,3.77,3.07,6.3,85.6,4.5,Sometimes,Morning,Mixed,Rarely,Last day,4,1,Sometimes
Radiology,5,1.6,2.0,1.88,3.44,8.9,75.7,2.5,Always,Late night,Mixed,Rarely,Throughout the semester,5,1,Sometimes
BS Software Engineering,2,4.5,3.7,1.68,3.75,6.0,88.2,1.2,Often,Late night,Mixed,Never,1 week before,5,5,Yes
Docter of optometry,5,2.6,3.5,3.37,3.75,7.1,94.5,2.5,Always,Afternoon,Reading notes,Rarely,Throughout the semester,0,1,Sometimes
Radiology,2,2.2,1.6,2.15,3.27,9.6,85.8,2.0,Rarely,Morning,Reading notes,Never,Throughout the semester,4,1,Sometimes
BS Data Science,1,1.8,3.2,4.0,3.64,7.0,72.5,0.6,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,4,5,Sometimes
BS Data Science,1,2.3,3.5,0.18,3.19,6.8,92.5,1.2,Rarely,Late night,Mixed,Rarely,Throughout the semester,3,2,Sometimes
BS Urdu,5,4.4,3.1,2.02,3.61,6.3,81.6,1.0,Sometimes,Late night,Practice questions,Often,2–3 days before,5,5,Sometimes
BS Data Science,3,1.7,4.5,3.93,3.75,6.0,94.1,2.9,Sometimes,Late night,Mixed,Rarely,Last day,5,1,No
Docter of optometry,6,4.5,3.9,3.62,3.21,6.8,96.1,4.5,Sometimes,Late night,Video lectures,Always,Last day,5,1,No
BSCS,7,1.6,4.5,4.0,3.75,6.7,91.4,4.0,Sometimes,Late night,Mixed,Rarely,1 week before,4,5,Sometimes
BS Mathematics,5,1.5,1.5,2.78,3.34,14.5,89.9,3.7,Sometimes,Late night,Practice questions,Rarely,1 week before,5,1,No
BS Software Engineering,5,1.7,3.1,2.4,3.25,10.9,93.8,0.8,Sometimes,Evening,Mixed,Never,1 week before,4,1,Yes
BS Software Engineering,5,1.6,3.8,3.28,3.36,6.5,88.1,4.0,Often,Morning,Mixed,Never,1 week before,2,1,Yes
Docter of optometry,4,3.8,4.5,3.03,2.9,6.6,94.1,3.7,Sometimes,Morning,Mixed,Rarely,Throughout the semester,5,3,Yes
BS Software Engineering,1,1.9,1.6,0.0,3.11,6.2,84.0,0.3,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,2,5,Sometimes
BS Software Engineering,5,1.5,3.6,2.71,3.24,6.6,70.6,4.5,Often,Morning,Mixed,Never,Last day,3,1,Yes
BS Software Engineering,1,2.1,2.5,2.5,3.42,6.7,94.0,2.7,Sometimes,Late night,Mixed,Sometimes,1 week before,4,4,Sometimes
BS Urdu,3,5.4,1.5,3.47,3.75,6.1,86.6,2.8,Sometimes,Evening,Practice questions,Sometimes,2–3 days before,5,1,Sometimes
BS Software Engineering,4,1.9,4.5,4.0,3.75,6.6,97.5,1.3,Sometimes,Late night,Mixed,Sometimes,1 week before,4,3,No
BS Data Science,2,2.2,2.7,0.0,3.32,6.6,87.6,2.5,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,5,1,No
BS Data Science,5,1.5,3.8,2.94,3.75,6.0,84.7,3.3,Sometimes,Late night,Mixed,Rarely,Last day,5,2,Yes
Radiology,7,1.8,4.0,3.18,3.36,6.8,83.9,2.2,Sometimes,Morning,Mixed,Sometimes,1 week before,5,3,Sometimes
BS Software Engineering,5,1.6,3.3,2.76,3.19,4.5,92.1,4.5,Sometimes,Late night,Video lectures,Rarely,Last day,5,4,Sometimes
BS Data Science,5,2.1,1.9,1.76,3.22,12.6,71.5,4.5,Never,Late night,Reading notes,Rarely,2–3 days before,4,1,Yes
BS Data Science,5,1.5,4.5,4.0,3.75,6.1,90.1,4.5,Sometimes,Morning,Mixed,Sometimes,1 week before,2,3,Yes
BS Data Science,1,5.3,3.9,1.27,3.75,6.5,88.8,1.8,Sometimes,Evening,Mixed,Never,2–3 days before,3,4,Sometimes
BS Data Science,2,1.9,4.3,3.23,2.33,6.6,83.7,0.7,Sometimes,Late night,Mixed,Sometimes,1 week before,5,5,Sometimes
BS Software Engineering,4,1.8,3.3,3.19,3.18,6.2,91.6,3.9,Sometimes,Morning,Mixed,Rarely,Throughout the semester,3,1,Sometimes
BS English,3,1.5,3.8,1.6,2.96,12.3,81.8,1.3,Sometimes,Late night,Mixed,Often,Throughout the semester,3,3,Yes
BBA,6,3.9,3.2,2.86,3.75,10.8,86.9,3.1,Always,Evening,Practice questions,Always,Throughout the semester,5,2,No
BS Accounting & finance,3,1.6,3.5,2.23,3.17,6.8,93.6,4.3,Always,Late night,Mixed,Sometimes,Last day,4,1,Yes
BS Data Science,4,2.0,4.5,1.92,2.28,7.2,60.0,3.8,Rarely,Late night,Mixed,Rarely,2–3 days before,5,3,Sometimes
BS Data Science,6,1.5,3.4,2.0,3.29,6.2,79.1,2.6,Sometimes,Morning,Mixed,Often,1 week before,3,3,Yes
BS Data Science,5,1.8,3.2,3.7,3.29,6.3,95.6,3.1,Sometimes,Evening,Video lectures,Rarely,1 week before,3,1,No
BS Data Science,5,1.5,3.7,3.48,3.69,5.9,94.1,3.1,Sometimes,Morning,Mixed,Sometimes,1 week before,5,1,Yes
BS Software Engineering,5,1.5,4.0,3.62,3.25,5.9,95.4,2.8,Sometimes,Morning,Practice questions,Rarely,Last day,2,2,No
BS AI,2,1.6,3.3,3.12,3.39,6.6,73.0,0.5,Sometimes,Morning,Mixed,Never,2–3 days before,4,1,Yes
BS Data Science,4,2.0,3.6,0.0,3.29,6.0,87.5,1.7,Sometimes,Late night,Practice questions,Often,Throughout the semester,5,2,Sometimes
BS Software Engineering,4,1.9,1.8,2.3,3.23,6.2,95.4,1.2,Often,Evening,Mixed,Sometimes,1 week before,2,4,Sometimes
Docter of optometry,1,5.5,2.1,2.78,2.69,6.2,82.3,2.0,Sometimes,Morning,Video lectures,Never,Throughout the semester,2,1,Sometimes
BS Software Engineering,5,1.8,3.5,4.0,3.75,7.2,89.2,4.5,Sometimes,Morning,Mixed,Rarely,Last day,5,1,No
BS Data Science,5,2.0,4.5,2.97,3.75,6.1,87.4,3.7,Sometimes,Late night,Mixed,Sometimes,1 week before,2,4,Sometimes
BS Mathematics,3,2.1,4.5,3.06,3.21,6.7,90.8,4.5,Sometimes,Morning,Mixed,Rarely,2–3 days before,4,4,Sometimes
BSCS,6,2.2,3.6,1.57,3.21,12.2,72.9,1.2,Often,Late night,Mixed,Rarely,Last day,5,1,Sometimes
BS Urdu,1,5.4,4.2,3.43,3.7,6.7,91.8,2.1,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,3,5,Sometimes
BSCS,6,1.5,3.6,2.72,3.27,7.0,60.0,1.8,Rarely,Morning,Mixed,Never,2–3 days before,3,1,Yes
BS Data Science,4,1.5,3.1,3.04,3.75,7.0,87.9,2.6,Rarely,Morning,Mixed,Never,Last day,0,3,Sometimes
BS Data Science,3,5.5,1.5,3.12,3.75,13.4,91.8,4.5,Rarely,Morning,Mixed,Rarely,2–3 days before,4,2,Sometimes
BS Mathematics,5,1.5,3.5,4.0,3.75,6.7,92.9,4.0,Sometimes,Morning,Mixed,Sometimes,1 week before,2,2,Sometimes
BS English,7,3.9,3.6,3.31,3.54,6.0,95.5,4.5,Often,Morning,Group study,Rarely,Last day,4,2,Sometimes
BS Urdu,3,1.6,2.0,1.86,3.25,6.5,82.8,4.5,Often,Late night,Mixed,Never,Last day,5,1,Yes
BS AI,5,1.5,3.6,3.04,3.14,6.2,94.1,1.9,Always,Morning,Practice questions,Sometimes,1 week before,3,4,Sometimes
BS Software Engineering,5,2.0,4.5,2.1,3.23,6.6,70.2,2.2,Sometimes,Late night,Mixed,Never,Last day,5,1,Sometimes
BS Urdu,1,5.5,2.7,0.0,3.75,6.4,82.4,2.7,Rarely,Morning,Mixed,Sometimes,Last day,3,3,Yes
BS Software Engineering,6,1.7,3.4,1.67,3.24,6.7,73.7,1.6,Often,Late night,Mixed,Often,1 week before,5,2,Yes
BS AI,4,2.1,3.2,2.93,3.1,6.1,88.9,2.4,Sometimes,Evening,Group study,Often,2–3 days before,3,1,Yes
BS Software Engineering,1,1.6,3.5,2.64,3.24,6.8,87.8,4.3,Sometimes,Evening,Mixed,Often,1 week before,5,2,Yes
BS Software Engineering,1,1.9,3.6,2.72,3.2,6.9,81.1,1.2,Sometimes,Evening,Mixed,Rarely,Throughout the semester,3,3,Sometimes
BS Software Engineering,4,4.2,2.5,2.97,3.16,6.3,89.8,1.7,Always,Late night,Mixed,Often,2–3 days before,2,4,No
BS Data Science,5,1.9,4.0,3.91,3.27,7.2,97.5,4.4,Rarely,Morning,Practice questions,Rarely,Throughout the semester,5,2,No
BS Data Science,5,5.5,3.5,2.25,3.11,3.5,94.4,2.5,Rarely,Late night,Video lectures,Rarely,Throughout the semester,5,1,Yes
BS Urdu,4,1.8,4.5,3.36,3.51,7.2,83.9,2.9,Sometimes,Late night,Video lectures,Sometimes,Throughout the semester,3,2,Sometimes
Docter of optometry,5,1.5,3.5,4.0,3.61,6.6,82.0,3.1,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
BS Mathematics,4,1.7,3.4,1.74,3.22,13.4,78.4,1.2,Rarely,Evening,Mixed,Never,Last day,5,1,Yes
BS Data Science,3,2.1,3.5,3.51,3.36,6.5,86.5,2.2,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,3,2,Yes
BS AI,3,1.8,1.5,0.0,3.62,6.9,81.6,2.4,Rarely,Late night,Mixed,Rarely,2–3 days before,5,2,Sometimes
BS Mathematics,5,2.0,1.6,3.07,3.31,5.9,97.5,1.6,Sometimes,Evening,Practice questions,Often,1 week before,4,1,Sometimes
BS Mathematics,5,1.7,4.3,3.53,3.32,6.7,94.3,4.5,Sometimes,Late night,Reading notes,Rarely,1 week before,5,2,Yes
DPT,3,4.0,2.8,3.54,3.61,6.3,90.8,3.5,Rarely,Late night,Video lectures,Sometimes,Throughout the semester,0,5,Yes
BS Software Engineering,5,1.5,3.0,3.2,3.25,9.8,76.8,4.1,Always,Late night,Mixed,Rarely,1 week before,5,1,Sometimes
BS AI,5,1.7,4.5,3.63,3.75,6.1,93.7,1.6,Sometimes,Late night,Mixed,Never,Last day,4,5,Sometimes
BS Urdu,2,2.7,3.9,3.21,2.25,6.6,95.1,3.9,Sometimes,Late night,Mixed,Sometimes,1 week before,2,5,Sometimes
BS Data Science,4,1.6,3.8,2.55,3.75,5.9,80.9,4.5,Sometimes,Evening,Mixed,Never,1 week before,4,1,Sometimes
BS Data Science,4,1.5,3.7,3.05,3.2,12.9,87.4,4.5,Often,Evening,Mixed,Rarely,1 week before,3,2,Yes
BS AI,4,5.5,3.2,4.0,3.1,6.3,87.9,0.0,Sometimes,Evening,Video lectures,Rarely,Throughout the semester,5,3,Sometimes
BS Data Science,7,3.4,3.7,3.23,2.25,6.5,75.5,4.5,Often,Late night,Mixed,Sometimes,Last day,5,3,Yes
Radiology,3,1.8,3.7,1.61,3.75,6.9,87.4,4.5,Never,Late night,Mixed,Often,Throughout the semester,3,4,Sometimes
BS Data Science,2,1.7,2.8,3.33,3.3,6.5,92.4,1.4,Sometimes,Morning,Practice questions,Sometimes,1 week before,3,3,Sometimes
BS Accounting & finance,6,1.6,3.3,2.74,3.29,11.2,91.5,4.5,Sometimes,Late night,Mixed,Sometimes,Last day,5,1,No
BS Software Engineering,5,2.1,3.2,0.0,3.42,5.8,83.8,0.8,Sometimes,Evening,Video lectures,Rarely,1 week before,5,1,Yes
BS Data Science,3,2.0,3.7,2.92,3.19,10.2,78.3,1.5,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,2,3,Sometimes
BS AI,5,1.5,3.8,3.08,3.55,6.5,97.4,1.2,Sometimes,Evening,Practice questions,Sometimes,1 week before,4,1,Sometimes
BS Software Engineering,5,1.6,2.2,2.29,3.75,5.9,85.3,3.4,Sometimes,Morning,Mixed,Rarely,1 week before,3,5,Sometimes
BS Software Engineering,7,3.5,3.3,2.62,3.21,7.4,93.8,2.9,Always,Late night,Mixed,Sometimes,Throughout the semester,5,1,Sometimes
BBA,5,5.0,4.5,4.0,3.36,7.3,89.6,3.2,Sometimes,Morning,Video lectures,Always,Last day,4,2,Sometimes
BS Data Science,5,1.5,4.5,2.02,3.17,7.1,89.2,3.1,Sometimes,Morning,Mixed,Often,Last day,5,3,Sometimes
BS Data Science,3,1.6,3.7,3.75,3.29,6.4,92.2,4.4,Sometimes,Late night,Mixed,Often,1 week before,5,1,No
BBA,5,1.5,3.8,3.82,3.7,6.9,88.9,4.1,Often,Late night,Mixed,Never,1 week before,2,2,Yes
BS Software Engineering,5,4.8,1.5,2.97,3.23,6.9,84.6,3.5,Always,Late night,Group study,Rarely,1 week before,4,2,No
Radiology,5,1.9,3.9,2.88,3.28,6.6,61.4,3.0,Often,Late night,Mixed,Rarely,Last day,4,2,Yes
Radiology,3,2.1,1.5,1.68,3.55,7.0,72.9,0.8,Rarely,Evening,Mixed,Often,Last day,4,2,Sometimes
BS Mathematics,5,1.5,4.5,3.26,3.05,6.0,92.7,2.9,Sometimes,Evening,Practice questions,Always,1 week before,4,4,Sometimes
BS Data Science,4,1.8,2.8,2.52,3.73,10.6,97.5,4.5,Often,Late night,Mixed,Sometimes,Last day,5,2,Sometimes
BS Data Science,5,4.0,4.5,2.03,3.2,7.1,60.0,2.7,Sometimes,Late night,Mixed,Never,2–3 days before,5,1,Yes
BS Software Engineering,3,5.1,1.5,2.9,3.74,6.4,90.7,3.9,Rarely,Late night,Video lectures,Sometimes,1 week before,0,4,Sometimes
BBA,5,1.5,3.3,2.75,3.54,5.8,86.8,3.7,Sometimes,Morning,Mixed,Rarely,Throughout the semester,5,1,Sometimes
BS English,5,4.2,2.6,3.79,3.3,7.5,93.8,2.7,Rarely,Morning,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
Docter of optometry,2,4.2,1.5,4.0,2.72,6.9,96.1,3.1,Always,Late night,Video lectures,Rarely,Throughout the semester,2,3,No
BS Data Science,2,4.5,1.5,2.13,3.38,6.5,77.5,1.6,Sometimes,Late night,Mixed,Rarely,Last day,5,1,Sometimes
BBA,2,3.9,4.5,0.0,3.21,11.2,90.7,2.9,Often,Late night,Mixed,Sometimes,1 week before,4,3,No
BS Data Science,6,1.6,1.5,2.45,3.31,6.4,86.5,2.3,Often,Late night,Mixed,Often,Last day,5,1,No
BS AI,5,1.9,1.5,3.41,3.71,6.8,94.4,2.1,Sometimes,Morning,Practice questions,Never,2–3 days before,3,3,Sometimes
BS Data Science,5,5.5,2.9,2.42,3.16,14.3,78.6,2.3,Often,Late night,Practice questions,Sometimes,Last day,5,1,Sometimes
BBA,3,2.6,2.8,4.0,3.52,6.6,96.3,2.7,Sometimes,Morning,Mixed,Sometimes,1 week before,1,5,Sometimes
BS Accounting & finance,5,1.7,3.5,2.78,3.75,5.7,60.0,4.5,Sometimes,Evening,Mixed,Rarely,1 week before,3,4,Yes
BS Data Science,3,1.6,3.5,2.29,3.17,6.6,73.4,4.5,Often,Late night,Mixed,Never,2–3 days before,4,2,Yes
BS Data Science,3,1.8,4.5,0.0,3.21,6.3,87.7,2.2,Sometimes,Late night,Mixed,Rarely,2–3 days before,5,5,Sometimes
BS Urdu,5,1.5,4.5,3.34,3.23,5.6,97.5,3.8,Sometimes,Morning,Mixed,Sometimes,1 week before,3,2,Yes
BS Data Science,1,4.8,1.5,0.0,3.23,14.5,75.8,1.9,Sometimes,Evening,Mixed,Sometimes,1 week before,2,2,Yes
BS Mathematics,4,1.8,4.2,2.48,3.75,7.0,77.6,3.3,Rarely,Morning,Video lectures,Never,Last day,3,2,Sometimes
BBA,3,4.7,4.5,2.67,3.75,6.5,95.3,2.1,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,Sometimes
BS Data Science,4,2.1,4.2,2.65,3.75,8.9,80.2,1.7,Never,Late night,Mixed,Sometimes,2–3 days before,5,3,Sometimes
BS Accounting & finance,3,5.0,1.5,0.0,3.19,14.5,78.7,0.9,Sometimes,Late night,Mixed,Always,Throughout the semester,3,1,Sometimes
Docter of optometry,3,5.5,2.0,1.85,3.13,7.3,86.0,0.0,Rarely,Evening,Mixed,Rarely,Throughout the semester,5,2,Sometimes
BS Software Engineering,1,1.5,3.9,3.01,3.12,6.3,88.8,4.2,Rarely,Morning,Mixed,Rarely,Last day,3,2,No
BS Data Science,1,3.7,2.8,2.32,3.75,7.6,81.3,0.6,Rarely,Late night,Mixed,Often,Throughout the semester,2,3,Sometimes
BS Accounting & finance,5,1.9,4.0,0.12,3.14,6.5,95.7,4.5,Sometimes,Morning,Mixed,Rarely,Last day,3,1,Yes
Docter of optometry,3,3.5,4.5,1.9,2.58,13.1,84.1,3.4,Never,Morning,Mixed,Never,Throughout the semester,5,1,Sometimes
BS Data Science,7,5.5,1.5,0.23,3.15,14.5,78.2,2.2,Sometimes,Morning,Mixed,Rarely,1 week before,0,3,Sometimes
BS Data Science,2,1.6,4.5,2.98,3.22,7.0,89.8,4.0,Never,Evening,Mixed,Never,1 week before,4,2,Sometimes
BS Software Engineering,5,1.5,3.8,4.0,3.29,6.4,88.0,4.0,Often,Morning,Reading notes,Sometimes,1 week before,4,3,Yes
BS Accounting & finance,5,5.0,3.7,4.0,3.75,7.0,97.5,3.4,Sometimes,Evening,Video lectures,Sometimes,1 week before,4,2,Yes
BS Data Science,5,3.2,3.4,2.63,2.57,6.7,90.3,4.5,Sometimes,Late night,Mixed,Rarely,Last day,5,1,Yes
BBA,5,3.4,2.1,0.0,3.3,2.7,76.3,0.8,Often,Afternoon,Group study,Rarely,Last day,5,1,Yes
BS Data Science,5,3.6,3.6,3.35,3.55,3.3,81.6,4.5,Sometimes,Evening,Video lectures,Sometimes,2–3 days before,5,3,Yes
BS AI,1,1.5,4.2,4.0,3.14,6.6,90.3,3.6,Sometimes,Morning,Video lectures,Never,1 week before,4,2,No
BS Data Science,7,1.5,3.5,2.3,2.72,10.4,85.3,3.9,Sometimes,Morning,Reading notes,Never,Last day,5,1,Sometimes
BS Accounting & finance,5,1.6,4.5,3.43,3.25,5.9,94.8,3.5,Often,Late night,Group study,Sometimes,1 week before,3,2,Sometimes
BSCS,1,1.9,3.8,2.91,3.33,5.8,68.9,2.2,Sometimes,Morning,Reading notes,Sometimes,1 week before,0,5,Yes
BS AI,5,1.9,3.1,0.0,3.29,6.8,82.4,1.0,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,1,Yes
BS Software Engineering,5,1.5,3.4,3.92,2.25,14.3,88.9,4.5,Sometimes,Morning,Mixed,Never,1 week before,4,1,Sometimes
BS Data Science,1,4.8,1.5,0.0,3.3,14.5,76.3,0.4,Often,Evening,Mixed,Often,1 week before,4,1,Sometimes
BS English,4,5.2,2.1,2.23,3.73,6.9,84.9,2.9,Rarely,Afternoon,Mixed,Rarely,Throughout the semester,1,3,Sometimes
BS Data Science,3,1.5,1.5,2.97,3.75,6.4,96.4,1.5,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,5,2,Yes
BS Software Engineering,5,1.5,4.3,3.38,3.75,6.5,85.6,3.8,Sometimes,Morning,Mixed,Never,2–3 days before,5,1,Yes
BS Software Engineering,6,5.5,3.4,2.66,3.24,6.7,72.3,0.6,Often,Morning,Video lectures,Never,Throughout the semester,5,1,No
BS Data Science,5,1.5,3.6,0.0,3.24,6.2,86.3,4.5,Always,Morning,Mixed,Never,1 week before,4,1,Yes
BS Accounting & finance,5,4.4,4.5,2.97,3.71,6.9,89.6,3.3,Sometimes,Morning,Mixed,Often,1 week before,4,3,Sometimes
BS Mathematics,3,1.5,3.7,2.53,3.71,6.7,94.0,3.4,Sometimes,Late night,Mixed,Always,1 week before,5,1,No
BS AI,5,1.5,2.5,2.6,3.28,5.5,84.7,3.9,Sometimes,Late night,Mixed,Always,Last day,3,3,Yes
BS Data Science,3,1.7,3.4,1.75,2.92,6.6,74.5,4.5,Often,Afternoon,Mixed,Rarely,Last day,5,1,Sometimes
BS Software Engineering,2,1.5,3.3,3.55,3.62,6.3,77.8,2.1,Sometimes,Late night,Mixed,Rarely,1 week before,2,5,Sometimes
BS Urdu,7,1.6,3.5,4.0,3.21,5.4,82.7,3.6,Sometimes,Evening,Video lectures,Sometimes,1 week before,3,4,No
Radiology,7,1.8,4.5,2.55,2.99,6.9,88.5,2.3,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,No
BS Data Science,5,1.8,2.2,3.26,3.23,6.7,88.4,4.5,Sometimes,Morning,Mixed,Always,Throughout the semester,5,1,Sometimes
BS Accounting & finance,5,1.6,4.5,2.17,3.56,6.8,60.0,2.7,Often,Late night,Mixed,Rarely,2–3 days before,4,2,No
BS Mathematics,1,5.5,4.5,4.0,2.37,6.8,96.0,4.1,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,2,3,No
BS Software Engineering,2,3.4,1.6,3.52,3.3,6.1,95.5,0.9,Sometimes,Morning,Practice questions,Always,Last day,3,1,Sometimes
BS Data Science,3,3.3,4.5,2.23,3.6,6.1,94.3,2.6,Sometimes,Late night,Mixed,Often,Throughout the semester,1,5,Sometimes
BBA,4,2.2,3.7,3.67,3.45,6.0,94.3,3.0,Sometimes,Morning,Mixed,Sometimes,Last day,5,1,Yes
BS Data Science,3,1.5,3.6,1.88,3.2,6.9,60.0,4.5,Rarely,Evening,Mixed,Sometimes,Last day,5,1,Yes
BS Software Engineering,5,1.7,3.0,2.72,3.31,6.2,82.6,1.8,Rarely,Evening,Mixed,Rarely,1 week before,0,3,Sometimes
BS Software Engineering,2,5.3,2.0,1.93,3.25,6.6,97.3,2.3,Sometimes,Late night,Mixed,Rarely,Throughout the semester,4,3,Sometimes
BS Accounting & finance,2,1.7,3.5,3.11,3.33,6.5,88.0,3.9,Sometimes,Evening,Group study,Never,Last day,3,5,Yes
BBA,5,2.1,4.3,2.84,3.75,7.0,72.9,2.0,Sometimes,Morning,Mixed,Never,1 week before,1,1,Sometimes
BS English,3,2.5,4.3,3.17,3.24,7.1,92.0,3.5,Sometimes,Morning,Mixed,Often,Last day,0,3,No
